법원,2023년 1월 강제경매,2023년 1월 임의경매,2023년 1월 경매 접수,2023년 2월 강제경매,2023년 2월 임의경매,2023년 2월 경매 접수,2023년 3월 강제경매,2023년 3월 임의경매,2023년 3월 경매 접수,2023년 4월 강제경매,2023년 4월 임의경매,2023년 4월 경매 접수,2023년 5월 강제경매,2023년 5월 임의경매,2023년 5월 경매 접수,2023년 6월 강제경매,2023년 6월 임의경매,2023년 6월 경매 접수,2023년 7월 강제경매,2023년 7월 임의경매,2023년 7월 경매 접수,2023년 8월 강제경매,2023년 8월 임의경매,2023년 8월 경매 접수,2023년 9월 강제경매,2023년 9월 임의경매,2023년 9월 경매 접수,2023년 10월 강제경매,2023년 10월 임의경매,2023년 10월 경매 접수,2023년 11월 강제경매,2023년 11월 임의경매,2023년 11월 경매 접수
인천,186,332,518,234,305,539,243,376,619,179,362,541,197,292,489,260,350,610,245,398,643,193,345,538,221,334,555,274,344,618,349,437,786
강원,115,127,242,99,157,256,96,197,293,101,173,274,77,191,268,99,172,271,108,205,313,126,222,348,93,188,281,85,197,282,124,201,325
대전/충남,201,417,618,245,467,712,249,575,824,245,537,782,196,491,687,248,508,756,241,541,782,221,534,755,224,452,676,240,547,787,269,679,948
충북,106,153,259,104,200,304,111,232,343,93,199,292,88,200,288,107,206,313,117,199,316,105,214,319,86,155,241,80,181,261,109,227,336
대구/경북,249,450,699,275,455,730,276,601,877,255,567,822,265,573,838,248,611,859,281,679,960,244,686,930,231,550,781,225,631,856,324,683,1007
부산,129,235,364,147,225,372,160,309,469,145,271,416,147,302,449,172,307,479,183,415,598,177,334,511,160,313,473,153,274,427,210,367,577
울산,61,154,215,57,152,209,67,193,260,65,168,233,66,180,246,68,180,248,68,216,284,67,189,256,51,161,212,60,141,201,64,185,249
경남,163,391,554,209,392,601,214,484,698,229,512,741,207,465,672,184,463,647,203,500,703,207,527,734,179,415,594,176,435,611,249,561,810
광주/전남,216,329,545,249,310,559,257,431,688,255,393,648,225,325,550,241,360,601,262,412,674,229,396,625,206,393,599,207,393,600,302,480,782
전북,100,174,274,132,219,351,160,250,410,145,225,370,133,193,326,141,221,362,145,229,374,153,241,394,105,157,262,106,205,311,149,240,389
제주,41,112,153,87,116,203,56,151,207,59,155,214,66,141,207,65,118,183,61,169,230,70,182,252,65,125,190,49,166,215,58,180,238
서울,369,381,750,415,426,841,454,589,1043,409,468,877,497,498,995,542,494,1036,470,532,1002,523,543,1066,465,442,907,481,469,950,639,615,1254
경기,569,1026,1595,653,1200,1853,664,1415,2079,691,1341,2032,656,1406,2062,690,1444,2134,692,1511,2203,666,1439,2105,723,1264,1987,716,1389,2105,856,1757,2613
합계,2505,4281,6786,2906,4624,7530,3007,5803,8810,2871,5371,8242,2820,5257,8077,3065,5434,8499,3076,6006,9082,2981,5852,8833,2809,4949,7758,2852,5372,8224,3702,6612,10314
