법원,2019_강제,2019_담보권실행,2019_총합,2020_강제,2020_담보권실행,2020_총합,2021_강제,2021_담보권실행,2021_총합,2022_강제,2022_담보권실행,2022_총합,2023_강제,2023_담보권실행,2023_총합
강원,1671.0,1733.0,3404.0,1489.0,1565.0,3054.0,1447.0,1193.0,2640.0,1305.0,1050.0,2355.0,1182.0,1554.0,2736.0
대전/충남,3434.0,4245.0,7679.0,3144.0,3476.0,6620.0,2955.0,2588.0,5543.0,2688.0,2558.0,5246.0,2693.0,4213.0,6906.0
충북,1573.0,1870.0,3443.0,1403.0,1575.0,2978.0,1307.0,1237.0,2544.0,1231.0,1145.0,2376.0,1128.0,1567.0,2695.0
대구/경북,3773.0,4887.0,8660.0,3343.0,4232.0,7575.0,3276.0,3191.0,6467.0,3502.0,2983.0,6485.0,2942.0,4927.0,7869.0
부산,1825.0,2861.0,4686.0,1933.0,2278.0,4211.0,1858.0,1535.0,3393.0,1741.0,1524.0,3265.0,1865.0,2804.0,4669.0
울산,890.0,1904.0,2794.0,832.0,1564.0,2396.0,770.0,1065.0,1835.0,737.0,863.0,1600.0,719.0,1563.0,2282.0
경남,3119.0,5451.0,8570.0,2843.0,4601.0,7444.0,2676.0,3155.0,5831.0,2486.0,2744.0,5230.0,2289.0,4267.0,6556.0
광주/전남,3821.0,2496.0,6317.0,3497.0,2121.0,5618.0,3095.0,1947.0,5042.0,2902.0,1740.0,4642.0,2722.0,2930.0,5652.0
전북,2035.0,2010.0,4045.0,1810.0,1704.0,3514.0,1716.0,1433.0,3149.0,1651.0,1194.0,2845.0,1535.0,1743.0,3278.0
제주,667.0,761.0,1428.0,691.0,898.0,1589.0,684.0,762.0,1446.0,654.0,731.0,1385.0,700.0,1485.0,2185.0
서울,3600.0,3161.0,6761.0,3932.0,2656.0,6588.0,4214.0,2137.0,6351.0,4841.0,2383.0,7224.0,5820.0,4371.0,10191.0
경기,7530.0,10992.0,18522.0,7470.0,9795.0,17265.0,7659.0,6336.0,13995.0,7591.0,6412.0,14003.0,8009.0,11752.0,19761.0
