법원,2023_법인,2023_개인,2022_법인,2022_개인,2023_파산(총합),2022_파산(총합)
합계,1657.0,41239.0,1004.0,41463.0,42896.0,42467.0
서울,678.0,8859.0,433.0,8951.0,9537.0,9384.0
인천,63.0,4522.0,38.0,4593.0,4585.0,4631.0
대전,109.0,2463.0,80.0,2879.0,2572.0,2959.0
청주,8.0,931.0,26.0,1087.0,939.0,1113.0
대구,205.0,4286.0,50.0,4040.0,4491.0,4090.0
부산,74.0,3403.0,48.0,2758.0,3477.0,2806.0
울산,17.0,904.0,14.0,1034.0,921.0,1048.0
창원,38.0,2910.0,25.0,3361.0,2948.0,3386.0
광주,48.0,1829.0,32.0,1892.0,1877.0,1924.0
전주,32.0,1038.0,18.0,1202.0,1070.0,1220.0
제주,16.0,564.0,14.0,584.0,580.0,598.0
경기,362.0,8623.0,225.0,8122.0,8985.0,8347.0
강원,7.0,907.0,1.0,960.0,914.0,961.0
